h_rel,h,Delta_analytic,Delta_fd,Delta_cs,err_D_fd,err_D_cs,Gamma_analytic,Gamma_fd,Gamma_cs_real,Gamma_cs_45,err_G_fd,err_G_cs_real,err_G_cs_45
1.000000000000e-16,1.000000000000e-14,5.398278372770e-01,7.105427357601e-01,5.398278372770e-01,1.707148984831e-01,0.000000000000e+00,1.984762737385e-02,-7.105427357601e+13,-0.000000000000e+00,0.000000000000e+00,7.105427357601e+13,1.984762737385e-02,1.984762737385e-02
4.489251258219e-16,4.489251258219e-14,5.398278372770e-01,4.748293389411e-01,5.398278372770e-01,6.499849833596e-02,1.110223024625e-16,1.984762737385e-02,-7.051351649072e+12,-0.000000000000e+00,1.252571672885e-02,7.051351649072e+12,1.984762737385e-02,7.321910645005e-03
2.015337685942e-15,2.015337685942e-13,5.398278372770e-01,5.288513736804e-01,5.398278372770e-01,1.097646359664e-02,1.110223024625e-16,1.984762737385e-02,0.000000000000e+00,-0.000000000000e+00,1.864558502958e-02,1.984762737385e-02,1.984762737385e-02,1.202042344275e-03
9.047357242349e-15,9.047357242349e-13,5.398278372770e-01,5.418980090446e-01,5.398278372770e-01,2.070171767610e-03,2.220446049250e-16,1.984762737385e-02,-1.736107931545e+10,-0.000000000000e+00,1.998397784392e-02,1.736107931547e+10,1.984762737385e-02,1.363504700730e-04
4.061585988377e-14,4.061585988377e-12,5.398278372770e-01,5.388219361609e-01,5.398278372770e-01,1.005901116169e-03,1.110223024625e-16,1.984762737385e-02,0.000000000000e+00,-0.000000000000e+00,1.988085782233e-02,1.984762737385e-02,1.984762737385e-02,3.323044847762e-05
1.823348000868e-13,1.823348000868e-11,5.398278372770e-01,5.393326703534e-01,5.398278372770e-01,4.951669235905e-04,0.000000000000e+00,1.984762737385e-02,4.274458146431e+07,-0.000000000000e+00,1.986562085973e-02,4.274458144446e+07,1.984762737385e-02,1.799348587765e-05
8.185467307069e-13,8.185467307069e-11,5.398278372770e-01,5.396691505207e-01,5.398278372770e-01,1.586867563728e-04,1.110223024625e-16,1.984762737385e-02,2.120963735382e+06,-0.000000000000e+00,1.984946433102e-02,2.120963715534e+06,1.984762737385e-02,1.836957166750e-06
3.674661940737e-12,3.674661940737e-10,5.398278372770e-01,5.398107873357e-01,5.398278372770e-01,1.704994136464e-05,0.000000000000e+00,1.984762737385e-02,0.000000000000e+00,-0.000000000000e+00,1.984695198254e-02,1.984762737385e-02,1.984762737385e-02,6.753913110689e-07
1.649648074098e-11,1.649648074098e-09,5.398278372770e-01,5.398261754799e-01,5.398278372770e-01,1.661797119135e-06,2.220446049250e-16,1.984762737385e-02,0.000000000000e+00,-0.000000000000e+00,1.984773563863e-02,1.984762737385e-02,1.984762737385e-02,1.082647819658e-07
7.405684692262e-11,7.405684692262e-09,5.398278372770e-01,5.398272690748e-01,5.398278372770e-01,5.682022039544e-07,1.110223024625e-16,1.984762737385e-02,0.000000000000e+00,-0.000000000000e+00,1.984765949087e-02,1.984762737385e-02,1.984762737385e-02,3.211701620626e-08
3.324597932271e-10,3.324597932271e-08,5.398278372770e-01,5.398279447229e-01,5.398278372770e-01,1.074458256811e-07,1.110223024625e-16,1.984762737385e-02,-6.428533966378e+00,-0.000000000000e+00,1.984763832807e-02,6.448381593752e+00,1.984762737385e-02,1.095421850103e-08
1.492495545052e-09,1.492495545052e-07,5.398278372770e-01,5.398277545397e-01,5.398278372770e-01,8.273728269170e-08,0.000000000000e+00,1.984762737385e-02,9.569414611587e-01,-0.000000000000e+00,1.984762888706e-02,9.370938337849e-01,1.984762737385e-02,1.513205949433e-09
6.700187503510e-09,6.700187503510e-07,5.398278372770e-01,5.398278383968e-01,5.398278372770e-01,1.119803472172e-09,0.000000000000e+00,1.984762737385e-02,1.582764463137e-02,6.331057852548e-02,1.984762663630e-02,4.019982742482e-03,4.346295115163e-02,7.375500973850e-10
3.007882518043e-08,3.007882518043e-06,5.398278372770e-01,5.398278646230e-01,5.398278372770e-01,2.734600201837e-08,1.110223024625e-16,1.984762737385e-02,2.120470470175e-02,4.083869053670e-02,1.984762734566e-02,1.357077327896e-03,2.099106316285e-02,2.819387778796e-11
1.350314037870e-07,1.350314037870e-05,5.398278372770e-01,5.398279705802e-01,5.398278372770e-01,1.333031328654e-07,1.110223024625e-16,1.984762737385e-02,1.995219127319e-02,3.974850605206e-02,1.984762737428e-02,1.045638993402e-04,1.990087867821e-02,4.254721575059e-13
6.061898993498e-07,6.061898993498e-05,5.398278372770e-01,5.398284387374e-01,5.398278372770e-01,6.014604123639e-07,4.440892098501e-16,1.984762737385e-02,1.984868621987e-02,3.969350518475e-02,1.984762737692e-02,1.058846017574e-06,1.984587781090e-02,3.067754383856e-12
2.721338768375e-06,2.721338768375e-04,5.398278372770e-01,5.398305378501e-01,5.398278372770e-01,2.700573109471e-06,4.440892098501e-16,1.984762737385e-02,1.984778303978e-02,3.969537418839e-02,1.984762737416e-02,1.556659251292e-07,1.984774681453e-02,3.069107468168e-13
1.221677348997e-05,1.221677348997e-03,5.398278372770e-01,5.398399608920e-01,5.398278372770e-01,1.212361494562e-05,2.220446049250e-16,1.984762737385e-02,1.984727219005e-02,3.969525849553e-02,1.984762736877e-02,3.551838028797e-07,1.984763112168e-02,5.084765941632e-12
5.484416576121e-05,5.484416576121e-03,5.398278372770e-01,5.398822621115e-01,5.398278372770e-01,5.442483444151e-05,1.110223024625e-16,1.984762737385e-02,1.984599396395e-02,3.969525447334e-02,1.984762726807e-02,1.633409905250e-06,1.984762709949e-02,1.057780876779e-10
2.462092401495e-04,2.462092401495e-02,5.398278372770e-01,5.400721406349e-01,5.398278372770e-01,2.443033578262e-04,1.443289932013e-15,1.984762737385e-02,1.984028247542e-02,3.969525364472e-02,1.984762524330e-02,7.344898434587e-06,1.984762627087e-02,2.130554364876e-09
1.105295141126e-03,1.105295141126e-01,5.398278372770e-01,5.409241030283e-01,5.398278372773e-01,1.096265751309e-03,3.088640454507e-13,1.984762737385e-02,1.981442174779e-02,3.969523252153e-02,1.984758443581e-02,3.320562606213e-05,1.984760514768e-02,4.293804066816e-08
4.961947603003e-03,4.961947603003e-01,5.398278372770e-01,5.447395520206e-01,5.398278374024e-01,4.911714743547e-03,1.253549486435e-10,1.984762737385e-02,1.969395194766e-02,3.969480673543e-02,1.984676205037e-02,1.536754261856e-04,1.984717936158e-02,8.653234824831e-07
2.227542952000e-02,2.227542952000e+00,5.398278372770e-01,5.616686462239e-01,5.398278884029e-01,2.184080894689e-02,5.112585854672e-08,1.984762737385e-02,1.907215096083e-02,3.968619970442e-02,1.983019753132e-02,7.754764130244e-04,1.983857233057e-02,1.742984253326e-05
1.000000000000e-01,1.000000000000e+01,5.398278372770e-01,6.326443486004e-01,5.398503026524e-01,9.281651132338e-02,2.246537536044e-05,1.984762737385e-02,1.528844383164e-02,3.950234074275e-02,1.950021147766e-02,4.559183542209e-03,1.965471336890e-02,3.474158961879e-04
